state,title,publication_date,report_type,sector,audit_year,detail_url,pdf_url,pdf_size_mb,scraped_at,report_no
Tamil Nadu,Report of the Comptroller and Auditor General of India  - Compliance Audit (Revenue) - Report No. 4 of 2024,,Compliance,Taxes and Duties,2023-24,https://cag.gov.in/en/audit-report/details/119773,/webroot/uploads/download_audit_report/2024/Revenue-report-4-2024-06683d9af5f16a2.59212214.pdf,,2026-07-22T13:07:04Z,4/2024
Tamil Nadu,Report of the Comptroller & Auditor General of India - Performance Audit on Welfare of Building and Other Construction workers - Report No. 3 of the year 2024 (Tamil),,Performance,Social Welfare,2023-24,https://cag.gov.in/en/audit-report/details/119771,/webroot/uploads/download_audit_report/2024/Report-No-3-of-2024-Welfare-of-Building-Tamil-0668286d671de57.93583562.pdf,,2026-07-22T13:07:04Z,
Tamil Nadu,Report of the Comptroller and Auditor General of India - Performance Audit on Welfare of Building and Other Construction Workers - Report No.3 of the year 2024,,Performance,Social Welfare,2023-24,https://cag.gov.in/en/audit-report/details/119757,/webroot/uploads/download_audit_report/2024/Report-No-3-of-2024-Labour-Cess-English-066826f742ed780.59836690.pdf,,2026-07-22T13:07:04Z,
Tamil Nadu,State Finances Audit Report of the Comptroller and Auditor General of India for the year ended March 2023 (Tamil) - Report No. 02 of 2024,,Financial,,2022-23,https://cag.gov.in/en/audit-report/details/121054,/webroot/uploads/download_audit_report/2023/Report-No-2-of-2024-SFAR-Tamil-0675956d56c5f56.42736176.pdf,,2026-07-22T13:07:15Z,02/2024
Tamil Nadu,State Finances Audit Report of the Comptroller and Auditor General of India for the year ended March 2023 - Report No. 02 of 2024,,Financial,,2022-23,https://cag.gov.in/en/audit-report/details/121041,/webroot/uploads/download_audit_report/2023/Report-No-2-of-2024-SFAR-English-0675955f21ba460.87039330.pdf,,2026-07-22T13:07:15Z,02/2024
Tamil Nadu,Report of the Comptroller and Auditor General of India - Performance Auditon Implementation of eProcurement system in Tamil Nadu - Report No. 4 of 2023 (Tamil),,,Science and Technology,2022-23,https://cag.gov.in/en/audit-report/details/119772,/webroot/uploads/download_audit_report/2023/Report-No-4-of-2023-eProcurement-Tamil-0668287ad692933.33855092.pdf,,2026-07-22T13:07:28Z,4/2023
Tamil Nadu,Report of the Comptroller and Auditor General of India - Performance Audit on Implementation of eProcurement system in Tamil Nadu - Report No. 4 of the year 2023,,Performance,Science and Technology,2022-23,https://cag.gov.in/en/audit-report/details/119744,/webroot/uploads/download_audit_report/2023/Report-No-4-of-2023-eProcurement-English-0668269bb4dda56.82968764.pdf,,2026-07-22T13:07:28Z,
Tamil Nadu,Report of the Comptroller and Auditor General of India - Performance Audit on Public Health Infrastructure and Management of Health Services (Tamil) - Report No. 05 of 2024,,Performance,Social Infrastructure,2021-22,https://cag.gov.in/en/audit-report/details/121084,/webroot/uploads/download_audit_report/2022/Report-No-5-of-2024-Health-Tamil-0675959bc0733d1.16422723.pdf,,2026-07-22T13:08:06Z,05/2024
Tamil Nadu,Report of the Comptroller and Auditor General of India - Performance Audit on Public Health Infrastructure and Management of Health Services - Report No. 05 of 2024,,Performance,Social Infrastructure,2021-22,https://cag.gov.in/en/audit-report/details/121067,/webroot/uploads/download_audit_report/2022/Report-No.-5-of-2024-069d631d023d5f4.89539046.pdf,,2026-07-22T13:08:06Z,05/2024
Tamil Nadu,Report of the Comptroller and Auditor General of India Compliance Audit (Local Government) for the year ended March 2022 (Tamil) - Report No. 01 of 2024,,Compliance,Local Bodies,2021-22,https://cag.gov.in/en/audit-report/details/121029,/webroot/uploads/download_audit_report/2022/Report-No-1-of-2024-LG-Tamil-0675954c52dea23.30166401.pdf,,2026-07-22T13:08:06Z,01/2024
Tamil Nadu,Report of the Comptroller and Auditor General of India Compliance Audit (Local Government) for the year ended March 2022 - Report No. 01 of 2024,,Compliance,Local Bodies,2021-22,https://cag.gov.in/en/audit-report/details/121017,/webroot/uploads/download_audit_report/2024/Report-No-1-of-2024-LG-English-067595323450879.78224641.pdf,,2026-07-22T13:08:06Z,01/2024
Tamil Nadu,Report of Comptroller and Auditor General of India - General Purpose Financial Report for the year ended 31 March 2022(Public Sector Undertakings) - Report No. 6 of 2024,,Financial,Finance,2021-22,https://cag.gov.in/en/audit-report/details/121016,/webroot/uploads/download_audit_report/2022/Report-of-Comptroller-and-Auditor-General-of-India---General-Purpose-Financial-Report-for-the-year-ended-31-March-2022(Public-Sector-Undertakings)---Report-No.-6-of-2024-0675854c5321468.20779840.pdf,,2026-07-22T13:08:06Z,6/2024
