constituency,rank,rank_reason,politician_id,candidate_name,party,won,myneta_total_assets,myneta_criminal_cases,myneta_education,has_eci_match,eci_quality_status,eci_fields_present
UTTAM NAGAR,3,party_priority:INC,136696,Mukesh Sharma,INC,0,546033928,1,Post Graduate,True,NEEDS_REVIEW,11
VIKASPURI,1 (winner),winner,136207,Pankaj Kumar Singh,BJP,1,49406844,1,Graduate Professional,True,NEEDS_REVIEW,9
VIKASPURI,2,party_priority:AAP,136648,Mahinder Yadav,AAP,0,38485038,1,10th Pass,True,NEEDS_REVIEW,9
VIKASPURI,3,party_priority:BSP,136626,Krishna Thakur,BSP,0,10365000,0,10th Pass,True,NEEDS_REVIEW,7
VISHWAS NAGAR,1 (winner),winner,136208,Om Prakash Sharma,BJP,1,251231937,0,Graduate,True,NEEDS_REVIEW,9
VISHWAS NAGAR,2,party_priority:AAP,136518,Deepak Singhal,AAP,0,152850269,1,8th Pass,True,NEEDS_REVIEW,9
VISHWAS NAGAR,3,party_priority:INC,136794,Rajiv Chaudhary,INC,0,42854696,0,Graduate Professional,True,NEEDS_REVIEW,7
WAZIRPUR,1 (winner),winner,136209,Poonam Sharma,BJP,1,12755121,0,12th Pass,True,NEEDS_REVIEW,6
WAZIRPUR,2,party_priority:INC,136770,Ragini Nayak,INC,0,18999401,3,Doctorate,True,NEEDS_REVIEW,10
WAZIRPUR,3,party_priority:BSP,136578,Hira Lal,BSP,0,5900000,0,8th Pass,True,NEEDS_REVIEW,6
